Main_Menu,Sub_Menu,Sub_Item,Sub_Sub_Menu,Sub_Sub_Item,Options,Meats,Sides,Extra_Side,Extra Chili or Salad,Potato Stuffing,Price,Additional Cost,Description
Appetizer,,,,,,,,,,,,,
BBQ and Ribs,,,,,,,,,,,,,
Famous Feasts,,,,,,,,,,,,,
Meats by the Pound,,,,,,,,,,,,,
Salads and Chili,,,,,,,,,,,,,
Burgers,,,,,,,,,,,,,
Sides and Cornbread,,,,,,,,,,,,,
Tacos,,,,,,,,,,,,,
Sandwiches,,,,,,,,,,,,,
Desserts,,,,,,,,,,,,,
Beverages,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Appetizer,Dave's Sampler Platter,,,,,,,,,29.95,,"Southside Rib Tips, hand-breaded Chicken Tenders, Sweetwater Catfish Fingers, crispy Onion Strings, and Boneless Wings tossed in your choice of sauce."
,Appetizer,BBQ Nachos,,,,,,,,,15.25,,"Our Famous Nachos topped with your choice of Texas Beef Brisket, Georgia Chopped Pork, or Pulled BBQ Chicken."
,Appetizer,Burnt Ends Appetizer,,,,,,,,,19.95,,Tender pieces of Texas Beef Brisket seared and caramelized with Sweet & Zesty®BBQ sauce.
,Appetizer,Mozerella Sticks Appetizer,,,,,,,,,9.95,,Everyone loves these breaded Mozzarella sticks served with classic Marinara sauce
,Appetizer,Southside Rib Tips Appetizer,,,,,,,,,14.95,,"Memphis-Style, dry-rubbed Rib Tips, jalapeño pickled red onions, spicy Hell-Fire®Pickles and our Southside sauce"
,Appetizer,Catfish Fingers Appetizer,,,,,,,,,15.95,,"Lightly breaded with Cajun-seasoned cornmeal, flash-fried, and served with Remoulade sauce"
,Appetizer,Traditional Wings Appetizer,,,,,,,,,15.25,,Seasoned and tossed in your choice of sauce.
,Appetizer,Boneless Wings Appetizer,,,,,,,,,15.25,,Seasoned and tossed in your choice of sauce
,Appetizer,Mac and Cheese Bites,,,,,,,,,12.95,,"Creamy mac & cheese hand-breaded with classic potato chips, tossed in brisket rub and topped with Parmesan cheese. Served with a side of Ranch dressing."
,Appetizer,BBQ Quesadilla,,,,,,,,,18.95,,"Served with your choice of BBQ pulled chicken, Brisket, or Chopped Pork."
,Appetizer,Fish and Chips,,,,,,,,,16.95,,Hand-breaded cod filets served with crispy Famous Fries.
,Appetizer,Onion Rings,,,,,,,,,12.95,,"Thick-cut, golden brown rings of sweet onion, lightly battered and fried to a satisfying crunch."
,BBQ and Ribs,St Louis Style Spareribs,,,Bones,,,,,,Varies,,"Hand-rubbed with Dave’s secret blend of spices and pit-smoked for 3 - 4 hours over a smoldering hickory fire. Then slathered with Rich & Sassy® BBQ sauce over an open flame to seal in the Famous flavor with a crispy, caramelized coating."
,BBQ and Ribs,Georgia Chopped Pork Platter,,,,,,,,,18.95,,
,BBQ and Ribs,Texas Beef Brisket Platter,,,,,,,,,22.95,,
,BBQ and Ribs,Southside Rib Tips Platter,,,,,,,,,22.95,,
,BBQ and Ribs,Country Roasted Chicken Platter,,,,,,,,,20.95,,
,BBQ and Ribs,BBQ Chicken Platter,,,,,,,,,20.95,,
,BBQ and Ribs,Texas Tri Tip Steak Platter,,,,,,,,,22.95,,
,BBQ and Ribs,Sweatwater Catfish Platter,,,,,,,,,22.95,,
,BBQ and Ribs,2 Meat Combo,,,"Meats=2, Sides=2, Add_Side = 1, Extra_Side=1, Chili_Salad=1",2,2,1,1,,24.95,,
,BBQ and Ribs,3 Meat Combo,,,"Meats=3, Sides=2, Add_Side = 1, Extra_Side=1, Chili_Salad=1",3,2,1,1,,31.95,,
,Famous Feasts,Mega Feast,,,,,,,,,209.95,,"Two full Slabs of St. Louis-Style Spare Ribs, Two Whole Country Roasted Chicken, Georgia Chopped Pork, Creamy Coleslaw, Famous Fries, Wilbur Beans and Sweet Corn, served family-style for 10-12 people."
,Famous Feasts,All-American Feast,,,,,,,,,109.95,,"A full slab of St. Louis-Style Spare Ribs, a whole Country Roasted Chicken, Georgia Chopped Pork, Creamy Coleslaw, Famous Fries, Wilbur Beans, Sweet Corn, and Corn Bread. Serves 4-6 people."
,Famous Feasts,Family and Friends Feast,,,,,,,,,84.95,,"Memphis-style dry-rubbed Rib Tips , a whole Country Roasted Chicken, Creamy Coleslaw, Famous Fries, Wilbur Beans, Sweet Corn, and Corn Bread. Serves 3-5 people."
,Famous Feasts,Feast for Two,,,,,,,,,59.95,,"Generous helpings of our St. Louis-Style Spare Ribs, Country Roasted Chicken, Georgia Chopped Pork, Creamy Coleslaw, Famous Fries, Wilbur Beans, Sweet Corn, and Corn Bread. Serves 2-3 people"
,Famous Feasts,Founder's Feast,,,,,,,,,37.95,,"Georgia Chopped Pork, ¼ Country Roasted Chicken, 3 St. Louis-Style Spare Ribs, Sweet Corn, Potato Salad, Creamy Coleslaw, Famous Fries, and Corn Bread."
,Meats by the Pound,Big Slab,,,,,,,,,31.00,,
,Meats by the Pound,Hot Links,,,,,,,,,25.00,,
,Meats by the Pound,Tri Tip,,,,,,,,,35.00,,
,Meats by the Pound,Rib Tips,,,,,,,,,13.99,,
